title,주소,Latitude,Longitude,지번
화정푸르넷공부방,광주 서구 내방로338번길 14 1층,35.1561951,126.8774058,(지번) 화정동 71-68
푸르넷 운남공부방,광주 광산구 목련로153번길 124 더존빌딩 2층 201호,35.1773853,126.8151496,(지번) 운남동 782-5
푸르넷공부방,전남 광양시 광장로 112-20,34.9327568,127.6966523,(지번) 중동 1686
푸르넷공부방,전남 광양시 금영로 143,34.9633225,127.7193903,(지번) 광영동 783-7
금성푸르넷공부방,전북 남원시 광한북로 114,35.4122216,127.3824975,(지번) 동충동 224-4
풍암푸르넷공부방,광주 서구 풍암운리로23번길 6,35.1235193,126.8664637,(지번) 풍암동 989-12
금성푸르넷공부방,전북 남원시 광한북로 114,35.4122216,127.3824975,(지번) 동충동 224-4
풍암푸르넷공부방,광주 서구 풍암운리로23번길 6,35.1235193,126.8664637,(지번) 풍암동 989-12
푸르넷공부방 평리초점,대구 서구 국채보상로55길 5-1,35.8720702,128.561609,(지번) 평리동 1072-13
금영푸르넷공부방,경북 경주시 양정로317번길 9 1층,35.8606166,129.2233182,(지번) 용강동 1358
푸르넷공부방 연경점,대구 북구 연경중앙로 18 3층,35.9440627,128.6186158,(지번) 연경동 1022-4
푸르넷수학공부방,대구 서구 달구벌대로371길 37,35.8644796,128.5671233,(지번) 내당동 11-44
푸르넷 신가 공부방,광주 광산구 수등로 287 신가부영아파트 105동 1층 106호,35.1867224,126.8395577,(지번) 신창동 1108-1
푸르넷공부방 읍내점,대구 북구 칠곡중앙대로126길 7-13 3층,35.9514042,128.5542682,(지번) 읍내동 430-10
푸르넷공부방 칠곡지점,대구 북구 구암로 139-1 4층,35.9320479,128.5563029,(지번) 동천동 878-3
동림푸르넷공부방,광주 북구 동림용산로 25 2층,35.1877808,126.8670555,(지번) 동림동 1153-4
푸르넷행복공부방,광주 북구 우치로361번길 20-7,35.1977767,126.9020232,(지번) 삼각동 581
푸르넷공부방 학정2호점,대구 북구 학정동로 42-25 2층,35.9477584,128.5680059,(지번) 학정동 973-6
푸르넷공부방,경남 창원시 마산합포구 가포순환로 33,35.174222,128.5646026,(지번) 월영동 738
푸르넷공부방,경남 창원시 성산구 대암로 56,35.2137408,128.7020069,(지번) 남양동 4
푸르넷공부방,울산 남구 대암로 82 205동 105호,35.5294612,129.323884,(지번) 야음동 594-10
금성푸르넷공부방,전북 남원시 광한북로 114,35.4122216,127.3824975,(지번) 동충동 224-4
풍암푸르넷공부방,광주 서구 풍암운리로23번길 6,35.1235193,126.8664637,(지번) 풍암동 989-12
푸르넷공부방 평리초점,대구 서구 국채보상로55길 5-1,35.8720702,128.561609,(지번) 평리동 1072-13
금영푸르넷공부방,경북 경주시 양정로317번길 9 1층,35.8606166,129.2233182,(지번) 용강동 1358
푸르넷공부방 연경점,대구 북구 연경중앙로 18 3층,35.9440627,128.6186158,(지번) 연경동 1022-4
푸르넷수학공부방,대구 서구 달구벌대로371길 37,35.8644796,128.5671233,(지번) 내당동 11-44
푸르넷 신가 공부방,광주 광산구 수등로 287 신가부영아파트 105동 1층 106호,35.1867224,126.8395577,(지번) 신창동 1108-1
푸르넷공부방 읍내점,대구 북구 칠곡중앙대로126길 7-13 3층,35.9514042,128.5542682,(지번) 읍내동 430-10
