"행정구역(시군구)별(1)",행정구역(시군구)별(2),2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
"행정구역(시군구)별(1)",행정구역(시군구)별(2),급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계,급여총계
"행정구역(시군구)별(1)",행정구역(시군구)별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"전북",부안군,12145,331069,12362,347160,12395,360769,12791,367207,12811,386254
"전북",순창군,6791,194811,6719,202051,6748,211619,6493,213070,6662,221371
"전북",완주군,27309,870082,27341,894597,28222,943379,29138,976449,29826,1046956
"전북",익산시,89928,2691925,90502,2812644,91489,2926014,92943,3017930,93586,3171183
"전북",임실군,6549,196526,6563,203868,6740,208994,6637,211838,6690,220045
"전북",장수군,4910,145043,5112,155426,5277,158414,5231,162339,5370,170100
"전북",전주시,211757,7182213,220409,7766352,230833,8334167,239207,8764483,244060,9247074
"전북",정읍시,28258,792796,29187,857921,29918,914549,30892,947077,31322,995373
"전북",진안군,5833,171522,5987,181757,6147,189541,6315,195131,6182,201505
"전남",소계,506719,16787250,521706,18037921,543939,19190602,555960,20057729,569284,21380748
"전남",강진군,7808,232384,7893,241832,8103,254427,8242,262327,8262,275159
"전남",고흥군,11690,324897,12032,348562,12329,363292,12401,378642,12602,394662
"전남",곡성군,6815,219181,6804,223693,6933,227809,7001,235925,7178,246910
"전남",광양시,49570,1918051,51007,2092384,53016,2200508,53552,2277933,56902,2553398
"전남",구례군,6448,179726,6365,187339,6416,191378,6427,196363,6158,202566
"전남",나주시,34837,1092298,36792,1194323,38318,1284259,40252,1397315,40724,1480808
"전남",담양군,12168,370327,12424,393894,13252,419001,13676,456484,13609,478750
"전남",목포시,66981,1944221,67835,2050392,69030,2171770,69092,2190236,71178,2315775
"전남",무안군,22043,736182,22880,791392,25722,928691,29323,1099846,30401,1186798
"전남",보성군,8363,240988,8295,248494,8562,258333,8623,263930,8437,271220
"전남",순천시,85436,3035101,89200,3313513,93636,3560435,96218,3729809,98010,3958663
"전남",신안군,7353,225273,7505,236305,7408,241732,7561,255583,7903,270261
"전남",여수시,82338,3207348,84992,3439754,89624,3618948,90887,3724350,93774,3979147
