행정구역(시군구)별(1),행정구역(시군구)별(2),2017년 평균급여(백만원),2018년 평균급여(백만원),2019년 평균급여(백만원),2020년 평균급여(백만원),2021년 평균급여(백만원),2022년 평균급여_예측값(백만원)
경기도,연천군,29.85044780728845,30.96008227317742,31.029085178021347,31.492266778640914,33.40420593613729,35.141167
경기도,오산시,32.99953245983146,34.06673044469048,34.63848796552285,35.470569443335194,37.13899517391221,38.74813
경기도,용인시,43.50944269798888,44.74598617307969,45.55620473898644,46.98239417097129,50.49460058853245,54.258995
경기도,의왕시,37.76280773490076,39.38631213653002,40.86285143853272,41.678720262030446,43.809001639035145,46.104794
경기도,의정부시,28.06309948902104,29.250998306871544,30.265016465556,30.94621448320489,32.04840987595501,31.941284
경기도,이천시,35.42641992322079,39.06246194201133,40.91556062300055,39.1147582697201,42.39449531791608,44.727
경기도,파주시,33.00856231164687,34.440398182606906,34.4540958626039,34.756344190057526,36.63079103067668,37.93425
경기도,평택시,34.139691269832745,35.43838022836721,36.1722630009812,36.40102580957653,38.4832803064736,40.83888
경기도,포천시,25.159046386342965,26.50181305745072,27.752753405197627,28.430856753865605,29.75287187998308,31.586433
경기도,하남시,36.503646929274645,37.716579885945336,38.558047234973984,40.86131437409109,43.77423310196843,47.503075
경기도,화성시,41.87717541511865,43.46361677347482,43.17183340916103,45.38111569610298,49.023900186340434,52.231247
강원특별자치도,강릉시,31.035219300301566,32.09415064102564,33.03284892086331,33.97435250941996,34.91661761283522,36.3639
강원특별자치도,고성군,28.745198463508324,29.64340392957387,31.194182389937108,31.70719389012072,32.28566477994686,33.748493
강원특별자치도,동해시,33.95973573132685,35.20784733369003,36.25122456019317,36.80796710703694,37.40011674665975,39.276535
강원특별자치도,삼척시,33.00123979749974,34.04538062811261,35.27124116019268,36.11485128099387,36.56471348985277,37.899586
강원특별자치도,속초시,29.42559829235253,30.50352675265968,31.577659614025954,32.053971450145625,32.79794026776519,34.190693
강원특별자치도,양구군,33.398245117463915,34.30696510496316,35.649225917431195,35.2615834144984,35.91083067535709,37.104286
강원특별자치도,양양군,28.78981348637016,30.611210577055505,31.786589382163086,31.706737454177727,33.121609688406714,34.916553
강원특별자치도,영월군,32.23499757634513,33.2424590634875,34.79876718824087,35.24599585453175,35.331471806881645,36.689285
강원특별자치도,원주시,32.46658416920114,33.555986507877314,34.531994892167994,35.06953853631862,36.1827962442403,37.81258
강원특별자치도,인제군,33.388140703517585,34.72644891455885,35.263407688656855,35.764097995545654,36.89461398806951,38.229034
강원특별자치도,정선군,30.812908729030426,31.309310694841745,33.087203965485585,33.02335535498278,34.184058104256685,35.50649
강원특별자치도,철원군,31.51672946495855,32.693547172652664,33.885621898029775,34.67922244913395,35.629065117331926,37.18298
강원특별자치도,춘천시,32.71136552145632,33.96949845175152,34.942294712027646,35.568586853460786,36.22456489859163,37.751877
강원특별자치도,태백시,34.33727977448908,35.4149573553253,36.33606441587795,36.14066713981547,36.804886787045,38.11683
강원특별자치도,평창군,28.653437620702974,29.32717678100264,30.16176206710928,31.376451229545665,32.568099246787774,32.9451
강원특별자치도,홍천군,29.756043591303868,31.070528967254408,31.566139191888155,31.950102803269644,32.2902733316917,33.202225
강원특별자치도,화천군,32.72699939867709,34.14687654933069,34.15532063197026,34.85789597000937,35.98365384615385,37.32052
강원특별자치도,횡성군,27.95688408878306,29.00207262477201,29.976545498508905,30.69678526841448,31.620679222449134,33.244896
대전광역시,대덕구,29.43818585474152,30.235343094130958,31.323113869569287,31.83032408812284,33.06476553722429,34.527206
대전광역시,동구,27.539884360216504,28.604582379238902,29.602644614676663,30.458696935896597,31.47916289885028,33.69253
대전광역시,서구,34.47513919119502,35.42505261116783,36.15674098954766,36.72859079035096,37.82366516199685,39.702034
대전광역시,유성구,45.10948296763244,45.802554886698566,45.94381827036805,46.52857074251686,47.8884873515746,49.079838
대전광역시,중구,30.627486857025048,31.67345231455661,32.6300364477727,33.190721713218835,34.46850944291082,32.303223
충청북도,괴산군,28.42295630357516,29.75535604978576,29.821981271562347,30.50866882162797,32.82125796178344,35.3354
충청북도,단양군,29.857378505265828,30.47089947089947,31.11139737455527,31.633444075304546,32.83755404570723,34.66921
충청북도,보은군,29.076562301939408,29.0931788316808,29.2232489162674,31.76877543470218,32.456188001889466,33.835583
충청북도,영동군,28.79318496779979,29.910805756565573,30.993847150259068,31.565848030328,32.45253448698065,34.054157
충청북도,옥천군,27.84276241534989,29.375,30.217288456339556,30.929946164199198,32.17016750864132,33.949
충청북도,음성군,28.18900110541654,29.58695385821755,30.74142619912878,31.965125334631296,33.52668833513904,36.16987
충청북도,제천시,30.85440940136601,31.75127541768418,33.068546288849994,33.549040661033565,34.604483057417795,36.143257
충청북도,증평군,30.7565448898092,32.38411174159756,32.81823890594474,33.420212765957444,34.6884029158383,34.10395
충청북도,진천군,29.813289236319903,31.6353511566699,32.74782950819672,33.79902958996405,35.56856170800256,38.10972
충청북도,청주시,35.1185060831351,36.83065283208892,38.13439344262295,38.2511902351546,39.98376716448112,42.358128
충청북도,충주시,30.79585930543188,32.124270260989015,33.22752917217085,33.76763179422533,35.42040043147676,37.460865
충청남도,계룡시,43.80778406379933,45.23353009023678,45.2728814665014,45.04299402687904,45.81172985781991,46.80457
충청남도,공주시,30.636030722364456,31.16323506227337,31.96252978124323,32.043398108132614,33.29003912127595,34.81947
충청남도,금산군,28.3963677823927,29.28921839261772,30.283184477979677,31.159963367167823,31.971503957783643,33.83103
충청남도,논산시,28.18450717203673,29.67712829736211,30.41148803574578,31.131772575250835,32.295037585323,34.361076
충청남도,당진시,35.347659552442245,37.92294132460337,37.64369654632108,37.88278957915831,40.629520710799646,42.7637
충청남도,보령시,30.782323267224104,32.370492808942814,32.566621586810925,33.38870049267388,34.578127514402496,36.078316
충청남도,부여군,27.73481845069536,28.241000308737263,29.35010495122855,29.849359169045737,31.87939191320255,33.962563
충청남도,서산시,39.64498992816015,40.91578587309731,41.02195926539856,41.11617675189696,43.764017855754126,45.675507
